region,date_bin_start,year,catch_taxon,catch_name_en,landing_weight_kg,catch_kg
Covalima,01/02/20,2020,TUN,Tuna/Bonito/Other Mackerel,0.215118183,801.5130001
Covalima,01/03/20,2020,BEN,Long tom,0.044974104,181.7328473
Covalima,01/03/20,2020,CGX,Jacks/Trevally/Other Scad,0,0
Covalima,01/03/20,2020,CJX,Fusilier,0,0
Covalima,01/03/20,2020,CLP,Sardines/pilchards,0.52692702,2129.224134
Covalima,01/03/20,2020,FLY,Flying fish,0.059647429,241.0253064
Covalima,01/03/20,2020,GZP,Garfish,0,0
Covalima,01/03/20,2020,LWX,Jobfish,0.023097571,93.3334278
Covalima,01/03/20,2020,MOO,Moonfish,0,0
Covalima,01/03/20,2020,MZZ,Other,0.496845404,2007.669346
Covalima,01/03/20,2020,RAX,Short bodied mackerel,0,0
Covalima,01/03/20,2020,SDX,Mackerel scad,2.357901057,9527.8846
Covalima,01/03/20,2020,SNA,Snapper/seaperch,0.46740152,1888.691527
Covalima,01/03/20,2020,TUN,Tuna/Bonito/Other Mackerel,1.163286927,4700.6483
Covalima,01/04/20,2020,BEN,Long tom,0,0
Covalima,01/04/20,2020,CGX,Jacks/Trevally/Other Scad,0.071003557,180.7412927
Covalima,01/04/20,2020,CJX,Fusilier,0,0
Covalima,01/04/20,2020,CLP,Sardines/pilchards,0.214370986,545.6865909
Covalima,01/04/20,2020,FLY,Flying fish,0.020235515,51.50999822
Covalima,01/04/20,2020,GZP,Garfish,0,0
Covalima,01/04/20,2020,LWX,Jobfish,0,0
Covalima,01/04/20,2020,MOO,Moonfish,0,0
Covalima,01/04/20,2020,MZZ,Other,1.106455623,2816.509868
Covalima,01/04/20,2020,RAX,Short bodied mackerel,0,0
Covalima,01/04/20,2020,SDX,Mackerel scad,3.945250239,10042.73104
Covalima,01/04/20,2020,SNA,Snapper/seaperch,1.119290764,2849.182033
Covalima,01/04/20,2020,TUN,Tuna/Bonito/Other Mackerel,0.003808873,9.695579464
Covalima,01/05/20,2020,BEN,Long tom,0,0
Covalima,01/05/20,2020,CGX,Jacks/Trevally/Other Scad,0,0
Covalima,01/05/20,2020,CJX,Fusilier,0,0
Covalima,01/05/20,2020,CLP,Sardines/pilchards,3.284818412,6504.560924
Covalima,01/05/20,2020,FLY,Flying fish,0,0
Covalima,01/05/20,2020,GZP,Garfish,0.002496964,4.944460719
Covalima,01/05/20,2020,LWX,Jobfish,0,0
Covalima,01/05/20,2020,MOO,Moonfish,0,0
Covalima,01/05/20,2020,MZZ,Other,0,0
